Topic,Area (65),Bar (51),Cont.-ColorPatn (42),Glyph (64),Grid (65),Line (48),Node-link (66),Point (58),Text (51)
Data Density / Image Clutter,36.9,33.3,38.1,34.4,60.0,29.2,48.5,50.0,33.3
Visual Encoding Clarity,18.5,23.5,23.8,32.8,13.8,43.8,33.3,29.3,21.6
Semantics / Text Legibility,38.5,29.4,21.4,23.4,32.3,35.4,33.3,44.8,58.8
Schema,43.1,17.6,33.3,39.1,20.0,33.3,34.8,36.2,27.5
"Color, Symbol, and Texture Details",52.3,35.3,64.3,40.6,61.5,31.2,43.9,37.9,33.3
Aesthetics Uncertainty,12.3,5.9,19.0,17.2,13.8,10.4,9.1,12.1,11.8
Immediacy / Cognitive Load,53.8,68.6,47.6,53.1,44.6,56.2,62.1,50.0,52.9
