Topic,Area (51),Bar (22),Cont.-ColorPatn (38),Glyph (57),Grid (57),Line (22),Node-link (54),Point (45),Text (38)
Data Density / Image Clutter,39.2,31.8,36.8,36.8,63.2,40.9,55.6,51.1,28.9
Visual Encoding Clarity,17.6,36.4,26.3,33.3,14.0,54.5,27.8,31.1,21.1
Semantics / Text Legibility,37.3,22.7,21.1,22.8,35.1,36.4,33.3,46.7,63.2
Schema,45.1,4.5,34.2,38.6,19.3,27.3,35.2,35.6,26.3
"Color, Symbol, and Texture Details",51.0,36.4,63.2,36.8,61.4,40.9,46.3,35.6,31.6
Aesthetics Uncertainty,11.8,13.6,21.1,17.5,14.0,13.6,9.3,8.9,10.5
Immediacy / Cognitive Load,51.0,68.2,50.0,49.1,45.6,45.5,63.0,48.9,52.6
