,whole,mark,property,text,content,structure,furniture
Area,0.30319148936170215,0.09042553191489362,0.18085106382978725,0.12234042553191489,0.10638297872340426,0.09574468085106383,0.10106382978723404
Bar,0.32786885245901637,0.13114754098360656,0.16393442622950818,0.1721311475409836,0.12295081967213115,0.01639344262295082,0.06557377049180328
Cont.-ColorPatn,0.29508196721311475,0.18032786885245902,0.23770491803278687,0.04918032786885246,0.11475409836065574,0.05737704918032787,0.06557377049180328
Glyph,0.2883435582822086,0.25153374233128833,0.15337423312883436,0.06134969325153374,0.09202453987730061,0.1165644171779141,0.03680981595092025
Grid,0.25824175824175827,0.15934065934065933,0.19230769230769232,0.11538461538461539,0.12637362637362637,0.09340659340659341,0.054945054945054944
Line,0.25874125874125875,0.25874125874125875,0.11188811188811189,0.13986013986013987,0.06993006993006994,0.06293706293706294,0.0979020979020979
Node-link,0.21287128712871287,0.22277227722772278,0.1188118811881188,0.09900990099009901,0.1188118811881188,0.18811881188118812,0.039603960396039604
Point,0.22916666666666666,0.23958333333333334,0.109375,0.125,0.09895833333333333,0.08333333333333333,0.11458333333333333
Text,0.2898550724637681,0.08695652173913043,0.15217391304347827,0.2826086956521739,0.07971014492753623,0.10144927536231885,0.007246376811594203
