term,pos_type,count,freq_pct,n_images,example_images
glean,verb,2,0.4,2,visMost573.png; whoQ42_6.png
select,verb,2,0.4,2,InfoVisJ.349.8.png; VASTC.91.5(1).png
add,verb,2,0.4,2,InfoVisJ.1558.9(2).png; VisC.375.2.png
pack,verb,2,0.4,2,InfoVisJ.631.1(2).png; VASTJ.1160.6.png
talk,verb,2,0.4,2,InfoVisJ.459.15.png; vis737.png
word,verb,2,0.4,2,VASTC.59.11(2).png; VASTJ.1407.9.png
learn,verb,2,0.4,2,InfoVisJ.609.8.png; SciVisJ.980.7(2).png
differ,verb,2,0.4,2,v484_n7395_11_f2.png; vis3.png
suppose,verb,2,0.4,2,SciVisJ.821.4.png; VisC.623.5.png
consider,verb,2,0.4,2,InfoVisJ.2082.3.png; v488_n7409_19_f1.png
realise,verb,2,0.4,2,InfoVisJ.2546.10.png; SciVisJ.867.7.png
decipher,verb,2,0.4,2,InfoVisJ.1149.8(2).png; visMost573.png
intersect,verb,2,0.4,2,VASTJ.1698.5(4).png; VisC.11.12(2).png
grow,verb,2,0.4,2,InfoVisJ.2402.12(1).png; InfoVisJ.2402.12.png
