section,subcategory,term,n_images
unclustered,noun_phrase,the number,2
unclustered,noun_phrase,the page,1
unclustered,noun_phrase,the pattern,1
unclustered,noun_phrase,the picture,2
unclustered,noun_phrase,the place,1
unclustered,noun_phrase,the purpose,1
unclustered,noun_phrase,the ratio,1
unclustered,noun_phrase,the same area,1
unclustered,noun_phrase,the same axis,1
unclustered,noun_phrase,the same shade,1
unclustered,noun_phrase,the sense,1
unclustered,noun_phrase,the shading,1
unclustered,noun_phrase,the shape,2
unclustered,noun_phrase,the size,2
unclustered,noun_phrase,the spot,1
unclustered,noun_phrase,the square,1
unclustered,noun_phrase,the subjetc,1
unclustered,noun_phrase,the text,1
unclustered,noun_phrase,the use,1
unclustered,noun_phrase,the visualisation,1
unclustered,noun_phrase,the visualization,2
unclustered,noun_phrase,the word,2
unclustered,noun_phrase,thickness,1
unclustered,noun_phrase,thing,2
unclustered,noun_phrase,thinness,1
unclustered,noun_phrase,this graphic design,1
unclustered,noun_phrase,this info,1
unclustered,noun_phrase,this type,1
unclustered,noun_phrase,those word,1
unclustered,noun_phrase,tidier,1
unclustered,noun_phrase,time scale,1
unclustered,noun_phrase,tiny layout,1
unclustered,noun_phrase,tiny writing,1
unclustered,noun_phrase,too many circle,1
unclustered,noun_phrase,too many data point,2
unclustered,noun_phrase,too many division,1
unclustered,noun_phrase,too many element,1
unclustered,noun_phrase,too many letter,1
unclustered,noun_phrase,too many move part,1
unclustered,noun_phrase,too many number,1
unclustered,noun_phrase,too many point,1
unclustered,noun_phrase,too many section,1
unclustered,noun_phrase,too many shape,2
unclustered,noun_phrase,too many similar color,1
unclustered,noun_phrase,too many spiral,1
unclustered,noun_phrase,too many subplot,1
unclustered,noun_phrase,too many thing,1
unclustered,noun_phrase,too many variable,1
unclustered,noun_phrase,too much information,2
unclustered,noun_phrase,too much variable,1
unclustered,noun_phrase,totally arbitrary color application,1
unclustered,noun_phrase,train eye,1
unclustered,noun_phrase,two color,2
unclustered,noun_phrase,two different axis,1
unclustered,noun_phrase,two different color,1
unclustered,noun_phrase,two graph,1
unclustered,noun_phrase,two letter,1
unclustered,noun_phrase,two or three datum point,1
unclustered,noun_phrase,two separate line,1
unclustered,noun_phrase,ugly calligraphy,1
unclustered,noun_phrase,uncertainty,1
unclustered,noun_phrase,unclear fill bar,1
unclustered,noun_phrase,undefined color,1
unclustered,noun_phrase,undefined shape,1
unclustered,noun_phrase,understandable visual,1
unclustered,noun_phrase,understanding,1
unclustered,noun_phrase,uneven shape,1
unclustered,noun_phrase,unfamiliar chart,1
unclustered,noun_phrase,unfamiliar design,1
unclustered,noun_phrase,unique datum point,1
unclustered,noun_phrase,unique shape,1
unclustered,noun_phrase,unknown detail,1
unclustered,noun_phrase,unlabeled legend/datum,1
unclustered,noun_phrase,unsure,1
unclustered,noun_phrase,upwards trend,1
unclustered,noun_phrase,useful information,1
unclustered,noun_phrase,vale,1
unclustered,noun_phrase,variable,1
unclustered,noun_phrase,variation,2
unclustered,noun_phrase,varied and vibrant color,1
unclustered,noun_phrase,varied color,1
unclustered,noun_phrase,various aspect,1
unclustered,noun_phrase,various color,1
unclustered,noun_phrase,various geometrical shape,1
unclustered,noun_phrase,various line,1
unclustered,noun_phrase,various point,1
unclustered,noun_phrase,various shade,1
unclustered,noun_phrase,various shape,1
unclustered,noun_phrase,various size,1
unclustered,noun_phrase,vary size,1
unclustered,noun_phrase,vast interpretation,1
unclustered,noun_phrase,vast use,1
unclustered,noun_phrase,vertical line,1
unclustered,noun_phrase,very weird color,1
unclustered,noun_phrase,visual clarity,1
unclustered,noun_phrase,visual cue,1
unclustered,noun_phrase,visual element,1
unclustered,noun_phrase,visualization,2
unclustered,noun_phrase,visually more detail,1
unclustered,noun_phrase,wavelet coefficient,1
unclustered,noun_phrase,way more information,2
unclustered,noun_phrase,weather map,1
unclustered,noun_phrase,weight graph,1
unclustered,noun_phrase,weird color palette,1
unclustered,noun_phrase,what color,1
unclustered,noun_phrase,what datum,1
unclustered,noun_phrase,what image,1
unclustered,noun_phrase,what red and green indicate,1
unclustered,noun_phrase,what value,1
unclustered,noun_phrase,what visualization,1
unclustered,noun_phrase,white color,1
unclustered,noun_phrase,white space,1
unclustered,noun_phrase,wide variety,1
unclustered,noun_phrase,wind map,1
unclustered,noun_phrase,word amount,1
unclustered,noun_phrase,word/sentence,2
unclustered,noun_phrase,wording,1
unclustered,noun_phrase,world,1
unclustered,noun_phrase,write information,1
unclustered,noun_phrase,x and y axes. country,1
unclustered,noun_phrase,x and y scales,1
unclustered,noun_phrase,x-position,1
unclustered,noun_phrase,x. y. color,1
unclustered,noun_phrase,y axis,1
unclustered,noun_phrase,y-axis,1
unclustered,noun_phrase,y-axis variable,1
unclustered,noun_phrase,y-position,1
