Topic,Area (+),Area (-),Area (+/-),Bar (+),Bar (-),Bar (+/-),Cont.-ColorPatn (+),Cont.-ColorPatn (-),Cont.-ColorPatn (+/-),Glyph (+),Glyph (-),Glyph (+/-),Grid (+),Grid (-),Grid (+/-),Line (+),Line (-),Line (+/-),Node-link (+),Node-link (-),Node-link (+/-),Point (+),Point (-),Point (+/-),Text (+),Text (-),Text (+/-),Total (+),Total (-),Total (+/-)
Immediacy / Cognitive Load,3,2,21,5,1,9,1,0,18,5,1,22,4,1,21,1,0,9,7,3,24,4,0,18,2,0,18,32,8,160
"Color, Symbol, and Texture Details",1,0,25,1,0,7,2,0,22,0,0,21,2,0,33,0,0,9,0,0,25,1,0,15,0,0,12,7,0,169
Data Density / Image Clutter,1,0,19,0,0,7,0,0,14,1,0,20,6,0,30,0,0,9,2,0,28,2,0,21,1,0,10,13,0,158
Semantics / Text Legibility,0,0,19,0,0,5,0,0,8,0,0,13,1,0,19,0,0,8,1,0,17,1,1,19,1,0,23,4,1,131
Schema,1,0,22,0,0,1,0,0,13,4,0,18,1,0,10,0,0,6,2,0,17,3,0,13,0,1,9,11,1,109
Visual Encoding Clarity,0,0,9,1,0,7,0,0,10,0,0,19,2,0,6,0,0,12,1,0,14,3,0,11,0,0,8,7,0,96
Aesthetics Uncertainty,0,0,6,0,0,3,2,0,6,0,0,10,1,0,7,1,0,2,0,0,5,1,1,2,1,0,3,6,1,44
